source,competition,year,topic,kind,status,target,sha256,size
04-25年优秀论文/2005年研究生数学建模竞赛优秀论文选/1415 B题论文.pdf,研究生数学建模,2005,B题,PDF,新增文件,6-1优秀论文库/研究生数学建模/2005/B题/1415 B题论文.pdf,3cba02ff818e4ae86e3bc23a5f783ad65479465ab8dfc7777732dd7288120a87,827289
04-25年优秀论文/2005年研究生数学建模竞赛优秀论文选/1418-A题.pdf,研究生数学建模,2005,A题,PDF,新增文件,6-1优秀论文库/研究生数学建模/2005/A题/1418-A题.pdf,3c6cd1b8bb2bd13129c25505a6d933324ad3a098d1f1fa40cb8405e4dc4642dc,762725
04-25年优秀论文/2005年研究生数学建模竞赛优秀论文选/d题论文.pdf,研究生数学建模,2005,D题,PDF,新增文件,6-1优秀论文库/研究生数学建模/2005/D题/d题论文.pdf,1ab0e214e4b446b1932c19dbb070e35cbf5496eec7abd6f1a1f66afb8b2292bf,403162
04-25年优秀论文/2005年研究生数学建模竞赛优秀论文选/交通网络的通行时间预测与最优路径决策1433-A 王邦进 唐蕾 姜  萍.pdf,研究生数学建模,2005,A题,PDF,新增文件,6-1优秀论文库/研究生数学建模/2005/A题/交通网络的通行时间预测与最优路径决策1433-A 王邦进 唐蕾 姜  萍.pdf,620fdcbd0be9577fd431070dad0ad3ec62116934e24d8defaafdaf8610f0a04c,879794
04-25年优秀论文/2005年研究生数学建模竞赛优秀论文选/仓库容量有限条件下的随机存贮管理.pdf,研究生数学建模,2005,综合,PDF,新增文件,6-1优秀论文库/研究生数学建模/2005/综合/仓库容量有限条件下的随机存贮管理.pdf,4f1e55f067496e94ba5024e8530ab283c5381338aba34dedd49b24877d8c2b01,759324
04-25年优秀论文/2005年研究生数学建模竞赛优秀论文选/余自若张明波杨风利a.pdf,研究生数学建模,2005,综合,PDF,新增文件,6-1优秀论文库/研究生数学建模/2005/综合/余自若张明波杨风利a.pdf,8c37d57ece13b6f363d7152c2d34ef8dfb0bec8498e6578f090fe4192f76b22e,919283
04-25年优秀论文/2005年研究生数学建模竞赛优秀论文选/城市出租车交通规划综合模型.pdf,研究生数学建模,2005,综合,PDF,新增文件,6-1优秀论文库/研究生数学建模/2005/综合/城市出租车交通规划综合模型.pdf,20f1e51539f128db8b771a53960c818e708fb0c167bb59ff36e5acddb949c09b,1399317
04-25年优秀论文/2005年研究生数学建模竞赛优秀论文选/排队论模型解决出租车最佳数量预测.pdf,研究生数学建模,2005,综合,PDF,新增文件,6-1优秀论文库/研究生数学建模/2005/综合/排队论模型解决出租车最佳数量预测.pdf,2a2ad201409dbdf8f3191b321ae0ff6f0e1e39a25ec37c21dedcff4a791168d4,1902995
04-25年优秀论文/2005年研究生数学建模竞赛优秀论文选/数学建模报告B题_胡亚峰.pdf,研究生数学建模,2005,综合,PDF,新增文件,6-1优秀论文库/研究生数学建模/2005/综合/数学建模报告B题_胡亚峰.pdf,29f3b8eb3443e87bcd4db551c11dc065573fe1a0279b6da557e5d936ff30929f,431976
04-25年优秀论文/2005年研究生数学建模竞赛优秀论文选/论文.pdf,研究生数学建模,2005,综合,PDF,新增文件,6-1优秀论文库/研究生数学建模/2005/综合/论文.pdf,edcce7b545a85f76a81dd9a09104630de31e4ce208e1537edd8ad9cc2b9fa727,1047377
04-25年优秀论文/2005年研究生数学建模竞赛优秀论文选/论文1313.pdf,研究生数学建模,2005,综合,PDF,新增文件,6-1优秀论文库/研究生数学建模/2005/综合/论文1313.pdf,3497d4be5c09592e31f49a151a35aaef2bb1ac9ebf3020fb6cf47f9222a8efbb,1092350
04-25年优秀论文/2005年研究生数学建模竞赛优秀论文选/飞机加油东南大学1035.pdf,研究生数学建模,2005,综合,PDF,新增文件,6-1优秀论文库/研究生数学建模/2005/综合/飞机加油东南大学1035.pdf,fb5237ba8d0b33b14943990ee647edcdfaf03a6ced173e64ad7c71b2c00994b4,1509406
04-25年优秀论文/2006年研究生数学建模竞赛优秀论文选-/10183011.pdf,研究生数学建模,2006,综合,PDF,新增文件,6-1优秀论文库/研究生数学建模/2006/综合/10183011.pdf,332bc878c74ff32ef03280badd42097e8cd993864f337fb4342ea05a2bc92e7d,1132959
04-25年优秀论文/2006年研究生数学建模竞赛优秀论文选-/10286020-C论文.pdf,研究生数学建模,2006,综合,PDF,新增文件,6-1优秀论文库/研究生数学建模/2006/综合/10286020-C论文.pdf,ad5ea294198e428c2a95e6ec5a77b0c05a8e49013ac54b730018550f738d4490,1125595
04-25年优秀论文/2006年研究生数学建模竞赛优秀论文选-/10394003.pdf,研究生数学建模,2006,综合,PDF,新增文件,6-1优秀论文库/研究生数学建模/2006/综合/10394003.pdf,4d3debad7cfaeeb0d3fe4c5bda31c1ac63116c62958c9544a64d3f15756acf33,1821840
04-25年优秀论文/2006年研究生数学建模竞赛优秀论文选-/Ad Hoc 网络中的区域划分和资源分配问题(正文).pdf,研究生数学建模,2006,综合,PDF,新增文件,6-1优秀论文库/研究生数学建模/2006/综合/Ad Hoc 网络中的区域划分和资源分配问题(正文).pdf,824d883aff16a2358b325b5f4ad9887d2acbd726b7ab61a4d4f64eaec5306078,945919
04-25年优秀论文/2006年研究生数学建模竞赛优秀论文选-/Ad Hoc网络中的区域划分和资源分配问题.pdf,研究生数学建模,2006,综合,PDF,新增文件,6-1优秀论文库/研究生数学建模/2006/综合/Ad Hoc网络中的区域划分和资源分配问题.pdf,d5701aed75c58f9a0cda12705c994b600da783ce2821db3884a0fb1e22e43634,1247319
04-25年优秀论文/2006年研究生数学建模竞赛优秀论文选-/A题 02.pdf,研究生数学建模,2006,A题,PDF,新增文件,6-1优秀论文库/研究生数学建模/2006/A题/A题 02.pdf,a57b1c0041299830d66428dbe0972d913d9d62df25969e3d3a5581689b4e6b9a,1127706
04-25年优秀论文/2006年研究生数学建模竞赛优秀论文选-/定稿2.pdf,研究生数学建模,2006,综合,PDF,新增文件,6-1优秀论文库/研究生数学建模/2006/综合/定稿2.pdf,05fca045bc71e9210b90133268189ce5b01986a6f6db3d45996bcf2cb8e93964,965298
04-25年优秀论文/2006年研究生数学建模竞赛优秀论文选-/最终正文.pdf,研究生数学建模,2006,综合,PDF,新增文件,6-1优秀论文库/研究生数学建模/2006/综合/最终正文.pdf,bba26c45e52f31825345f725f856afb02e5d224a1e9d94f97ea5d1e1aa5c3543,3738832
04-25年优秀论文/2006年研究生数学建模竞赛优秀论文选-/最终论文2.pdf,研究生数学建模,2006,综合,PDF,新增文件,6-1优秀论文库/研究生数学建模/2006/综合/最终论文2.pdf,292f8301be25134dc1f314fbb2415c071d45fc6a7b82a20f7176f59343d009ef,924412
04-25年优秀论文/2006年研究生数学建模竞赛优秀论文选-/确定高精度参数问题(正文).pdf,研究生数学建模,2006,综合,PDF,新增文件,6-1优秀论文库/研究生数学建模/2006/综合/确定高精度参数问题(正文).pdf,dc682283c5192fc2c42e6219ad82463e0d54111a7e233757688de2c71318cbf1,1146313
04-25年优秀论文/2006年研究生数学建模竞赛优秀论文选-/论文.pdf,研究生数学建模,2006,综合,PDF,新增文件,6-1优秀论文库/研究生数学建模/2006/综合/论文.pdf,fcd4ead00fc9e11b039e1495db16f82af3de3a6ace1b4de7120a1ea4363c77aa,1588363
04-25年优秀论文/2006年研究生数学建模竞赛优秀论文选-/论文正文.pdf,研究生数学建模,2006,综合,PDF,新增文件,6-1优秀论文库/研究生数学建模/2006/综合/论文正文.pdf,570f37f9e78ff985c50c99167a74c48c7c429d220cc9d4352f1299294e191003,1609181
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1000401-A.pdf,研究生数学建模,2007,综合,PDF,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/1000401-A.pdf,06c86953d05867bb58d6cc6438c85ce9194751719b4acdc50af42055328ab33f,1704821
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1000633邮政运输网络中的邮路规划和邮车调整.pdf,研究生数学建模,2007,综合,PDF,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/1000633邮政运输网络中的邮路规划和邮车调整.pdf,426e230eadd052e6482804941545a1c6147310fe695c55dfd8f858a07eeefda1,1318891
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1001302-B/1001302/answer1.m,研究生数学建模,2007,综合,配套附件,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/配套附件/1001302-B/1001302/answer1.m,cdd7befb7828a86710dc02b0d526e2eeb523e033873d6c8e0ac85405ad3f0d22,1249
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1001302-B/1001302/answer2.m,研究生数学建模,2007,综合,配套附件,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/配套附件/1001302-B/1001302/answer2.m,c55a7cba2ef0760e326357fdbd0dd6dc18909aa4477ca06ebb015b7e66c50df1,5815
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1001302-B/1001302/collision_detection.m,研究生数学建模,2007,综合,配套附件,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/配套附件/1001302-B/1001302/collision_detection.m,75f869836e35535867f8bc0dbe4b37695f79ddcd86709c0880f877b598d63eb4,7472
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1001302-B/1001302/path_calculate.m,研究生数学建模,2007,综合,配套附件,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/配套附件/1001302-B/1001302/path_calculate.m,c200ef63c1eb4ee1ec5278d438516350c98a5e121920985ddd02a065a5cb714c,5622
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1001302-B/1001302/status_calculate.m,研究生数学建模,2007,综合,配套附件,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/配套附件/1001302-B/1001302/status_calculate.m,ea5858f37122533fd24613ce2c54fbc6750cb794846f259a6cdc0441a04af44d,1047
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1001302-B/1001302/使用说明.txt,研究生数学建模,2007,综合,配套附件,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/配套附件/1001302-B/1001302/使用说明.txt,754c390985185b2eee00035dc0454b221adc4f4c024fbad4a9467eba55435362,381
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1001302-B/1001302/数模论文最终版.pdf,研究生数学建模,2007,综合,PDF,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/数模论文最终版.pdf,c72ee6629d086d479f82b07231c0e884eadd9ecc45a480410319e87a861cc0aa,1927646
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1002701邮政运输网络中的邮路规划和邮车调度.pdf,研究生数学建模,2007,综合,PDF,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/1002701邮政运输网络中的邮路规划和邮车调度.pdf,bdc95df2c78d2c739e3c4159878bf05f717ef2db91c961b984c8be12659d1fd1,995655
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/10052A论文.pdf,研究生数学建模,2007,综合,PDF,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/10052A论文.pdf,83e89abc4be31194ebdb5e251d72d5a1d6f554bb7d8712492e248d78ebf71b1a,1099655
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1028601/数学建模_1028601/98_2_1.dfit,研究生数学建模,2007,综合,配套附件,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/配套附件/1028601/数学建模_1028601/98_2_1.dfit,ac696436dbd311851fd57d6cb8f6d52d759c57d500621f056de7ad933b255fe4,360371
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1028601/数学建模_1028601/data.txt,研究生数学建模,2007,综合,配套附件,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/配套附件/1028601/数学建模_1028601/data.txt,22e94f1938d65b138fdd0eb756058c7f538c4851872bfb6118b8f8dcc1797592,2730
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1028601/数学建模_1028601/shumo.mat,研究生数学建模,2007,综合,配套附件,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/配套附件/1028601/数学建模_1028601/shumo.mat,784fb0b16b7bab7f867173a3912302ce4c67c513d0130c122bdcab1bfb3d3a90,7797
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1028601/数学建模_1028601/shumo_2_98.m,研究生数学建模,2007,综合,配套附件,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/配套附件/1028601/数学建模_1028601/shumo_2_98.m,91b758a585dde4ff27d11da1b9b7be2769fc0fb51a8a4f21a9ebecbed0b747ee,608
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1028601/数学建模_1028601/shumo_all.m,研究生数学建模,2007,综合,配套附件,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/配套附件/1028601/数学建模_1028601/shumo_all.m,816d38774e0d04de99bb7135d42afd2c3531c5d35ef40632690f4783886d2406,2909
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1028601/数学建模_1028601/数学建模竞赛论文-01.pdf,研究生数学建模,2007,综合,PDF,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/数学建模竞赛论文-01.pdf,83f9068ba3faa89ae16bf61ae239262ba742dae869b3540dc8b6a030bd7d31d9,2207867
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1028601/数学建模_1028601/数模.dfit,研究生数学建模,2007,综合,配套附件,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/配套附件/1028601/数学建模_1028601/数模.dfit,de290d2c18bf9f92fb569a65d22d87149245e536d2a9177a5851a1391e0c7f9d,85618
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1028601/数学建模_1028601/程序说明文档.doc,研究生数学建模,2007,综合,Word原稿,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/Word原稿/程序说明文档.doc,bcf95e469ba41584e05aef2069cf848d26382379991419ee52f35b9ca9a32c32,24064
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1029405/1029405/1.xls,研究生数学建模,2007,综合,配套附件,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/配套附件/1029405/1.xls,bd9ff1db643303e8c8322da4296e770920f56758ea9e3965d5a945d03f1bf4b6,67072
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1029405/1029405/1029405.doc,研究生数学建模,2007,综合,Word原稿,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/Word原稿/1029405.doc,00c20991e26974cc0a171f750ace93c5635889db7c1491d86cfe058fec65850b,95744
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1029405/1029405/13—23.xls,研究生数学建模,2007,综合,配套附件,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/配套附件/1029405/13—23.xls,6087b7fb50e28e8b75f32f2b81b1b891d680731cee99c43a57cbde05ad8a069f,15872
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1029405/1029405/2.xls,研究生数学建模,2007,综合,配套附件,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/配套附件/1029405/2.xls,2332772638faf5ba2b909342e8d70209fdeef0b5f82d927a9b5de79165045611,77312
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1029405/1029405/23－0-29.doc,研究生数学建模,2007,综合,Word原稿,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/Word原稿/23－0-29.doc,92f8a1ba9321887d2884ce815da720d6a21bf7624a4fa5c1aff7baee0e48c344,500224
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1029405/1029405/3.xls,研究生数学建模,2007,综合,配套附件,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/配套附件/1029405/3.xls,68c05cb4f537bc3106a56ddc28a82ce641f65e8f133fe527c33602ce85b4c862,67072
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1029405/1029405/6-53.xls,研究生数学建模,2007,综合,配套附件,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/配套附件/1029405/6-53.xls,4aa321df3f0209f8d2eab6bb8d9fb3769714c214c39e4fa39a60d1693c492816,15360
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1029405/1029405/chengxu/ceshi.asv,研究生数学建模,2007,综合,排除缓存与编译产物,排除缓存与编译产物,,46782b4ce65969e49a598a7495b2a6a369d7118db2eb4db5cb86cbd82c0dd6db,1718
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1029405/1029405/chengxu/ceshi.m,研究生数学建模,2007,综合,配套附件,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/配套附件/1029405/chengxu/ceshi.m,568aa00dd8c77bd67434e1b35661067dae622ba51f9128dd28fb2e65ea9b917f,1658
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1029405/1029405/chengxu/ceshi1.m,研究生数学建模,2007,综合,配套附件,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/配套附件/1029405/chengxu/ceshi1.m,fd96afc13048c6d5b59d5172063960308e2312ea381aaf795214022f73ed2f60,534
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1029405/1029405/chengxu/ChangePath2.m,研究生数学建模,2007,综合,配套附件,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/配套附件/1029405/chengxu/ChangePath2.m,de8af364eab814c5933814d11204ddb0d2a6d61a6c54f273e83a127e4bdf2f55,484
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1029405/1029405/chengxu/create_permutations.m,研究生数学建模,2007,综合,配套附件,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/配套附件/1029405/chengxu/create_permutations.m,33f540bd8e1f53a3575a6949c040d55c8be9e26ebb9f2719f8b1578f59584695,706
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1029405/1029405/chengxu/crossover_permutation.m,研究生数学建模,2007,综合,配套附件,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/配套附件/1029405/chengxu/crossover_permutation.m,f4783904e5a69e8d136e844560b738cde6d5af1c19afc6cb05cdbd45c30d3b63,1514
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1029405/1029405/chengxu/d2.asv,研究生数学建模,2007,综合,排除缓存与编译产物,排除缓存与编译产物,,14fdd4d73513f80ed66dbefd237a4ba38f52c3a96381c3448ec8d0e6c04d39e1,1268
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1029405/1029405/chengxu/d2.m,研究生数学建模,2007,综合,配套附件,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/配套附件/1029405/chengxu/d2.m,a27ed21d6c65f941da44d56c32988d60de021d1b58b2a1ddab7767fb9ea2f3d3,1329
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1029405/1029405/chengxu/D2_1.asv,研究生数学建模,2007,综合,排除缓存与编译产物,排除缓存与编译产物,,849adce84eec9baca7389a0ba21fe6947aae71c5ae0f0af1077055a7b272e866,3272
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1029405/1029405/chengxu/D2_1.m,研究生数学建模,2007,综合,配套附件,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/配套附件/1029405/chengxu/D2_1.m,dfb608a429f63dd31e15892ffb730723b816d8d5edb6074b24bbc968149d05d4,3283
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1029405/1029405/chengxu/D2_2.m,研究生数学建模,2007,综合,配套附件,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/配套附件/1029405/chengxu/D2_2.m,823d86c6333fd19eb69ffdb47fbccf3e9dff71b0a75366947267e20a2f77aef8,3263
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1029405/1029405/chengxu/D2_fitness.asv,研究生数学建模,2007,综合,排除缓存与编译产物,排除缓存与编译产物,,b93cb28fe64d1234bc49fab466171757542750602e633adbbc8703f83e7363a3,711
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1029405/1029405/chengxu/D2_fitness.m,研究生数学建模,2007,综合,配套附件,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/配套附件/1029405/chengxu/D2_fitness.m,b93cb28fe64d1234bc49fab466171757542750602e633adbbc8703f83e7363a3,711
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1029405/1029405/chengxu/D2_fitness_1.asv,研究生数学建模,2007,综合,排除缓存与编译产物,排除缓存与编译产物,,0cbfc6a6bcaf6766d9bfc07faf57b4cbdd7fb2052591d2a806ea2b6e3f7e599e,685
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1029405/1029405/chengxu/D2_fitness_1.m,研究生数学建模,2007,综合,配套附件,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/配套附件/1029405/chengxu/D2_fitness_1.m,0cbfc6a6bcaf6766d9bfc07faf57b4cbdd7fb2052591d2a806ea2b6e3f7e599e,685
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1029405/1029405/chengxu/D2_fitness_2.asv,研究生数学建模,2007,综合,排除缓存与编译产物,排除缓存与编译产物,,81ab07cb78933c3ec74d4d94ebb794f259bf87eab3d277666c23f2cd6fe0e0f9,722
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1029405/1029405/chengxu/D2_fitness_2.m,研究生数学建模,2007,综合,配套附件,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/配套附件/1029405/chengxu/D2_fitness_2.m,32a782a7819ad9837e3c8423ba896099362fa839105380180deaafd10a63fae9,720
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1029405/1029405/chengxu/D2_plot.m,研究生数学建模,2007,综合,配套附件,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/配套附件/1029405/chengxu/D2_plot.m,f48e38663472721eb26c5db5f363dafa1e7744f63f11423f1b6e5de9af1de409,769
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1029405/1029405/chengxu/data.mat,研究生数学建模,2007,综合,配套附件,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/配套附件/1029405/chengxu/data.mat,cb431324235ca8c62b9570a3ee49dd1d526e15d0a96d9ab1d56f9b2371447e48,417
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1029405/1029405/chengxu/data_1.mat,研究生数学建模,2007,综合,配套附件,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/配套附件/1029405/chengxu/data_1.mat,0dc5ff4733446bd8cf1a7465eef62ab1a6345dbfd393eab594e541ee0b43ed4c,171454
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1029405/1029405/chengxu/data_m.mat,研究生数学建模,2007,综合,配套附件,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/配套附件/1029405/chengxu/data_m.mat,56452b15ee6fa5296b79964f023967de99925c28b42af25fe4250c96136fda3b,301
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1029405/1029405/chengxu/data_you.mat,研究生数学建模,2007,综合,配套附件,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/配套附件/1029405/chengxu/data_you.mat,27bccdb5bbfbd3b4b3c1b23fac4041a171e5ca027499e95e0bcafe168eae2f95,205
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1029405/1029405/chengxu/dis.asv,研究生数学建模,2007,综合,排除缓存与编译产物,排除缓存与编译产物,,b16da9757aab448b0b1c8a9937b99f0a66cb4a900b41487c6b866b32d18e96a5,155
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1029405/1029405/chengxu/dis.m,研究生数学建模,2007,综合,配套附件,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/配套附件/1029405/chengxu/dis.m,dc1f2a99ba5a5e208693925f5c521971fdb50c150b2ff0f4433723919d71b149,156
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1029405/1029405/chengxu/fun.asv,研究生数学建模,2007,综合,排除缓存与编译产物,排除缓存与编译产物,,aeefd6bf151d846944ee23a757714c286f2a23ac25e747fa1d8a338eac2d70a1,315
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1029405/1029405/chengxu/fun.m,研究生数学建模,2007,综合,配套附件,新增文件,6-1优秀论文库/研究生数学建模/2007/综合/配套附件/1029405/chengxu/fun.m,045d226f57bbd3c06e35edb7754af98a3d9be2a8555b26adabdd84561337cdb3,355
04-25年优秀论文/2007年研究生数学建模竞赛优秀论文选-/1029405/1029405/chengxu/m2.asv,研究生数学建模,2007,综合,排除缓存与编译产物,排除缓存与编译产物,,f45ce3f17c1e79014bf3582bb0030f5c16acec003249d707cb7e544d747e006a,5055
