孔型: A
X 1000  Y 243600
X 116000  Y 139600
X 116000  Y 143600
X 116000  Y 147600
X 116000  Y 151400
X 116000  Y 155400
X 116000  Y 159400
X 116000  Y 167200
X 116000  Y 171200
X 116000  Y 175000
X 116000  Y 179000
X 116000  Y 183000
X 116000  Y 187000
X 116000  Y 190800
X -116800  Y 122800
X -117000  Y 268400
X -117072  Y 271474
X -117072  Y 277773
X -117072  Y 284072
X -117072  Y 287222
X -117072  Y 293521
X -117072  Y 296670
X -117072  Y 299820
X -117072  Y 302970
X -117072  Y 306119
X -117072  Y 309269
X -117072  Y 312418
X -118800  Y 121200
X 1200  Y 111600
X -120200  Y 274500
X -120200  Y 281000
X -120222  Y 262025
X -120222  Y 268324
X -120222  Y 271474
X -120222  Y 277773
X -120222  Y 284072
X -120222  Y 287222
X -120222  Y 293521
X -120222  Y 296670
X -120222  Y 299820
X -120222  Y 302970
X -120222  Y 306119
X -120222  Y 309269
X -120222  Y 312418
X -120530  Y 246000
X -120800  Y 122800
X -121400  Y 109000
X -121400  Y 99200
X -122000  Y 515200
X -122600  Y 248000
X -122800  Y 121200
X -123371  Y 268324
X -123371  Y 309269
X -123371  Y 312418
X -12400  Y 211200
X -12400  Y 223200
X -12400  Y 251600
X 12400  Y 400800
X 12400  Y 403000
X -124467  Y 246000
X -124800  Y 122800
X -126400  Y 248000
X -126521  Y 274623
X -126521  Y 280922
X -126521  Y 284072
X -126521  Y 287222
X -126521  Y 293521
X -126521  Y 296670
X -126521  Y 299820
X -126521  Y 302970
X -126521  Y 306119
X -126521  Y 309269
X -126521  Y 312418
X -126800  Y 121200
X 12800  Y 221600
X 12800  Y 250800
X -128800  Y 122800
X -129600  Y 265200
X -129670  Y 268324
X -129670  Y 271474
X -129670  Y 274623
X -129670  Y 277773
X -129670  Y 280922
X -129670  Y 284072
X -129670  Y 287222
X -129670  Y 293521
X -129670  Y 296670
X -129670  Y 299820
X -129670  Y 302970
X -129670  Y 306119
X -129670  Y 309269
X -129670  Y 312418
X -130600  Y 121200
X 13200  Y 123000
X -13200  Y 322600
X -132600  Y 122800
X -132800  Y 265200
X -132800  Y 284000
X -132820  Y 268324
X -132820  Y 271474
X -132820  Y 274623
X -132820  Y 277773
X -132820  Y 280922
X -132820  Y 287222
X -132820  Y 293521
X -132820  Y 296670
X -132820  Y 299820
X -132820  Y 302970
X -132820  Y 306119
X -132820  Y 309269
X -132820  Y 312418
X -134600  Y 121200
X -135970  Y 262025
X -135970  Y 265174
X -135970  Y 268324
X -135970  Y 271474
X -135970  Y 274623
X -135970  Y 287222
X -135970  Y 296670
X -135970  Y 299820
X -135970  Y 302970
X -135970  Y 306119
X -135970  Y 309269
X -135970  Y 312418
X -136000  Y 280800
X -136000  Y 284000
X -136000  Y 293600
X -136400  Y 248000
X -136600  Y 122800
X -139000  Y 277800
X -139000  Y 281000
X -139000  Y 287200
X -139119  Y 265174
X -139119  Y 268324
X -139119  Y 271474
X -139119  Y 293521
X -139119  Y 296670
X -139119  Y 299820
X -139119  Y 302970
X -139119  Y 309269
X -139119  Y 312418
X -139119  Y 315568
X -1400  Y 241800
X -140200  Y 248000
X -142200  Y 274600
X -142200  Y 277800
X -142200  Y 281000
X -142200  Y 284200
X -142200  Y 287200
X -142200  Y 326000
X -142269  Y 262025
X -142269  Y 271474
X -142269  Y 290371
X -142269  Y 293521
X -142269  Y 296670
X -142269  Y 302970
X -142269  Y 306119
X -142269  Y 309269
X -142269  Y 312418
X -142269  Y 315568
X -142269  Y 318718
X -144000  Y 248000
X -145400  Y 281000
X -145400  Y 284200
X -145400  Y 287200
X -145418  Y 262025
X -145418  Y 271474
X -145418  Y 274623
X -145418  Y 277773
X -145418  Y 299820
X -145418  Y 302970
X -145418  Y 306119
X -145418  Y 309269
X -145418  Y 315568
X -146121  Y 246000
X -14800  Y 324600
X -148200  Y 217000
X -148568  Y 274623
X -148568  Y 296670
X -148568  Y 299820
X -148568  Y 302970
X -148568  Y 306119
X -148568  Y 309269
X -148568  Y 315568
X -148568  Y 318718
X -148600  Y 277800
X -148600  Y 281000
X -148600  Y 284200
X -148600  Y 312400
X -149000  Y 324800
X -150200  Y 246000
X -151600  Y 287200
X -151600  Y 324400
X -151718  Y 299820
X -151718  Y 302970
X -151718  Y 318718
X -152000  Y 321800
X -152800  Y 282200
X -154200  Y 261800
X -154400  Y 268200
X -155000  Y 290600
X -155200  Y 293600
X -15600  Y 221600
X -157800  Y 325000
X -157932  Y 246000
X 15800  Y 211000
X -159800  Y 248000
X 159800  Y 549200
X 16000  Y 223600
X 16000  Y 248200
X 16000  Y 252400
X -160600  Y 380200
X -161869  Y 246000
X 163000  Y 529000
X -163800  Y 230200
X -165400  Y 427400
X -167800  Y 233400
X -169800  Y 232000
X 17000  Y 111600
X -17800  Y 211200
X -1800  Y 265000
X 180400  Y 168600
X 18800  Y 211000
X 19000  Y 110000
X 19000  Y 221400
X -19000  Y 223600
X 19000  Y 254000
X 193000  Y 151400
X 199600  Y 155600
X 200  Y 210600
X 200  Y 221600
X 201400  Y 147000
X -202800  Y 190200
X 203331  Y 121331
X 203331  Y 125268
X -20400  Y 111600
X 204400  Y 163000
X 207200  Y 158600
X 207268  Y 121331
X 207268  Y 125268
X 207268  Y 129205
X 207268  Y 133142
X 207268  Y 141016
X 207268  Y 144953
X 207268  Y 148890
X 20800  Y 86200
X 209200  Y 161000
X 21000  Y 111600
X 211205  Y 121331
X 211205  Y 125268
X 211205  Y 129205
X 211205  Y 133142
X 211205  Y 141016
X 211205  Y 144953
X 211205  Y 148890
X 213200  Y 119000
X 215142  Y 121331
X 215142  Y 125268
X 215142  Y 129205
X 215142  Y 133142
X 215142  Y 141016
X 215142  Y 144953
X 215142  Y 148890
X 215142  Y 152827
X -21800  Y 221600
X -218200  Y 407000
X -218200  Y 409200
X 218400  Y 163400
X 219079  Y 121331
X 219079  Y 125268
X 219079  Y 129205
X 219079  Y 133142
X 219079  Y 141016
X 219079  Y 144953
X 219079  Y 148890
X 22200  Y 265600
X 222800  Y 528400
X 223016  Y 121331
X 223016  Y 125268
X 223016  Y 129205
X 223016  Y 133142
X 223016  Y 141016
X 223016  Y 144953
X 223016  Y 148890
X 223016  Y 152827
X 223016  Y 156764
X -22400  Y 110000
X 226953  Y 129205
X 226953  Y 133142
X 226953  Y 141016
X 226953  Y 144953
X 226953  Y 148890
X 226953  Y 152827
X 227000  Y 125200
X 22800  Y 110000
X 22800  Y 84200
X 231400  Y 1800
X 234827  Y 121331
X 234827  Y 125268
X 234827  Y 129205
X 234827  Y 133142
X 234827  Y 141016
X 234827  Y 144953
X 234827  Y 148890
X 236800  Y 159600
X 23800  Y 223500
X 238764  Y 121331
X 238764  Y 125268
X 238764  Y 129205
X 238764  Y 133142
X 238764  Y 141016
X 238764  Y 144953
X 238764  Y 148890
X 238764  Y 152827
X 242701  Y 121531
X 242701  Y 129205
X 242701  Y 133142
X 242701  Y 141016
X 242701  Y 144953
X 242701  Y 156764
X 243400  Y 160000
X -24400  Y 111600
X -244400  Y 256200
X -244400  Y 258600
X 244800  Y 119200
X 246638  Y 121331
X 246638  Y 125268
X 246638  Y 129205
X 246638  Y 133142
X 246638  Y 141016
X 246638  Y 144953
X 24800  Y 111600
X -24800  Y 259200
X 24800  Y 86200
X 248600  Y 118600
X 250575  Y 129205
X 250575  Y 133142
X 250575  Y 148890
X 250575  Y 152827
X 25400  Y 252200
X 254512  Y 137079
X 254600  Y 129200
X 256000  Y 149400
X 257200  Y 147000
X 258200  Y 118000
X -26400  Y 110000
X 26800  Y 121000
X 26800  Y 84200
X 269800  Y 744800
X 272600  Y 699000
X 276800  Y 487200
X 277000  Y 479000
X -28200  Y 111600
X 28500  Y 221500
X 28500  Y 254000
X 28800  Y 123000
X 28800  Y 86200
X -3000  Y 223600
X -3000  Y 252800
X -30400  Y 110000
X 30800  Y 121000
X 30800  Y 84200
X 31600  Y 221600
X 31600  Y 252200
X 3200  Y 110000
X 3200  Y 242800
X -32400  Y 111600
X 32600  Y 123000
X 32600  Y 86200
X 3400  Y 250000
X 3400  Y 730000
X -34200  Y 110000
X 34300  Y 254500
X 34600  Y 84200
X 34800  Y 223500
X 3500  Y 221500
X -35000  Y 270800
X -3600  Y 242600
X 36000  Y 268600
X -36200  Y 111600
X -36200  Y 257400
X -36600  Y 254800
X 36600  Y 86200
X 38000  Y 252000
X -38000  Y 268800
X -38200  Y 110000
X 38200  Y 221000
X 38600  Y 84200
X 400  Y 272800
X -40200  Y 111600
X 40600  Y 86200
X 41000  Y 223000
X 41000  Y 254000
X 41600  Y 265000
X -42200  Y 110000
X 42600  Y 84200
X -4400  Y 295000
X -44200  Y 111600
X 44200  Y 210800
X 44200  Y 221400
X 44200  Y 252000
X 44200  Y 267000
X 44600  Y 86400
X -46000  Y 110000
X 46400  Y 84200
X 47400  Y 222400
X 47400  Y 254000
X -48000  Y 111600
X 48400  Y 86400
X -50000  Y 110000
X -50000  Y 310000
X 50400  Y 316800
X 50400  Y 84200
X 50600  Y 211200
X 50600  Y 221400
X 50600  Y 252000
X -51200  Y 284200
X 5200  Y 111600
X -52000  Y 111600
X 52400  Y 86400
X 52800  Y 322600
X 53000  Y 299000
X 53000  Y 302800
X 53500  Y 254000
X 53600  Y 209800
X 5400  Y 242400
X -54000  Y 110000
X -54200  Y 205000
X 54400  Y 84200
X 55300  Y 243500
X -55800  Y 111600
X 56400  Y 86400
X 57300  Y 223500
X -5800  Y 254000
X -58000  Y 110000
X 58400  Y 84200
X -59800  Y 111600
X -6000  Y 242600
X -6000  Y 297000
X 60000  Y 221400
X 60000  Y 254000
X -61800  Y 110000
X 62300  Y 250500
X 62800  Y 301000
X 63600  Y 320600
X -6400  Y 221600
X 6400  Y 223600
X 6400  Y 265800
X -65800  Y 121200
X -67600  Y 122800
X -69600  Y 121200
X 7000  Y 110000
X -70800  Y 234800
X -71600  Y 122800
X -73000  Y 208000
X -73600  Y 121200
X -75600  Y 122800
X -77400  Y 121200
X 77400  Y 316800
X 7800  Y 240600
X -7800  Y 265800
X -7800  Y 299000
X 79000  Y 314800
X 79000  Y 318800
X -81200  Y 243500
X -84000  Y 239800
X -88200  Y 287200
X 88400  Y 249800
X 88400  Y 253800
X 88400  Y 257800
X 88400  Y 261600
X 88400  Y 265600
X 88400  Y 269600
X 88600  Y 293200
X 88800  Y 137600
X 88800  Y 141600
X 88800  Y 145600
X 88800  Y 149400
X 88800  Y 153400
X 88800  Y 157400
X 88800  Y 161200
X 88800  Y 169200
X 88800  Y 173200
X 88800  Y 177000
X 88800  Y 181000
X 88800  Y 185000
X 88800  Y 188800
X 88800  Y 192800
X -89200  Y 259500
X 9000  Y 111600
X 90000  Y 251800
X 90000  Y 255800
X 90000  Y 259800
X 90000  Y 263600
X 90000  Y 267600
X 90000  Y 271600
X 90000  Y 295200
X 90600  Y 135800
X 90600  Y 139600
X 90600  Y 143600
X 90600  Y 147600
X 90600  Y 151400
X 90600  Y 155400
X 90600  Y 159400
X 90600  Y 171200
X 90600  Y 175000
X 90600  Y 179000
X 90600  Y 183000
X 90600  Y 187000
X 90600  Y 190800
X -91400  Y 306600
X -9200  Y 221600
X -93200  Y 326400
X -9400  Y 209800
X 9400  Y 266600
X -9400  Y 268600
X -94600  Y 318400
X -95025  Y 293521
X -95025  Y 296670
X -95025  Y 312418
X -95200  Y 320500
X -95400  Y 325000
X 9600  Y 209800
X 9600  Y 221600
X 9600  Y 250400
X -97600  Y 324000
X -98174  Y 265174
X -98174  Y 277773
X -98174  Y 280922
X -98174  Y 284072
X -98174  Y 296670
X -98174  Y 299820
X -98174  Y 312418
X -99200  Y 121200

孔型: B
X -100200  Y 360800
X -101000  Y 202200
X -101000  Y 207800
X -101000  Y 212800
X -101000  Y 217800
X -101000  Y 223200
X 101000  Y 355000
X -101200  Y 15000
X -101200  Y 228400
X -101200  Y -3000
X -101200  Y 84000
X -101600  Y 155600
X -101600  Y 165500
X -101700  Y 149700
X -101700  Y 171400
X -101800  Y 143800
X -101900  Y 177300
X 102600  Y 627400
X -103200  Y 86000
X 104200  Y 677600
X -105000  Y 83800
X -106600  Y 373400
X -106600  Y 378200
X -106600  Y 447900
X -107000  Y 86000
X -10800  Y 270600
X 10800  Y 432000
X -108200  Y 390000
X -11000  Y 277000
X -110000  Y 13200
X -110000  Y -2000
X -110300  Y 471500
X 110600  Y 633400
X -112200  Y -17400
X -112200  Y -7600
X -112700  Y 232900
X 113000  Y 680800
X -114600  Y 8800
X 114800  Y 627800
X 114800  Y 645000
X -115200  Y 100200
X -115200  Y 107200
X -115400  Y 399800
X -116200  Y 377200
X -116200  Y 383400
X -116600  Y 232900
X -11900  Y 205700
X -119400  Y 10200
X 120400  Y 276600
X 120400  Y 653600
X 120400  Y 671800
X 120800  Y 627800
X -121200  Y 149700
X -121300  Y 143800
X -121300  Y 155600
X -121400  Y 165500
X -121400  Y 171400
X -121600  Y 67600
X -122800  Y 370400
X -123400  Y 63600
X 12400  Y 417100
X -124200  Y -33200
X -124400  Y -23400
X -124400  Y -29200
X -124400  Y -39200
X -124400  Y -45000
X -124400  Y -51000
X -126200  Y -31200
X -126200  Y 61600
X -126400  Y -27400
X -126400  Y -37200
X -126400  Y -43000
X -126400  Y -49000
X -126600  Y -21400
X 12700  Y 195300
X -127800  Y 104000
X 12800  Y 455200
X -13000  Y 107800
X 13000  Y 280100
X -130400  Y 245900
X 13100  Y 392800
X 13100  Y 410900
X -131300  Y 179200
X -131400  Y 167400
X -131400  Y 175300
X -132600  Y 86000
X 132900  Y 43400
X -133000  Y 10200
X -133100  Y 5200
X -134300  Y 245900
X -134600  Y 83800
X 13600  Y 437800
X 13600  Y 443600
X -136400  Y 26200
X -136400  Y 44000
X -136400  Y 53800
X -136400  Y 58800
X -136400  Y 65600
X -136400  Y 71400
X -136400  Y -7600
X -136600  Y 32200
X -136600  Y 39200
X -136600  Y -52800
X -136600  Y 86000
X -136800  Y -13600
X -136800  Y -25400
X -136800  Y -35200
X -136800  Y -41000
X -136800  Y -47000
X -137200  Y -19400
X -138600  Y 110600
X -138600  Y 537200
X -138600  Y 96800
X -138800  Y 506800
X -138800  Y 512800
X -138800  Y 519200
X -138800  Y 525400
X -139000  Y 227400
X -139600  Y 531200
X 14000  Y 107800
X -14000  Y 406700
X -14000  Y 412500
X -14000  Y 418400
X -14000  Y 426600
X -140200  Y -15400
X -140300  Y 414200
X -140300  Y 419300
X -140400  Y 388100
X -140400  Y 393200
X -140400  Y 398300
X -140400  Y 404000
X -140400  Y 409100
X -140400  Y 86400
X -140600  Y 122200
X -142200  Y -11600
X -142400  Y 110600
X -142400  Y 600
X -142400  Y 96800
X 143200  Y -3200
X -144400  Y 122200
X -144400  Y 86200
X -146000  Y -26400
X -146000  Y -34000
X -146200  Y 45400
X -146200  Y 52800
X -146400  Y 110600
X -146400  Y 96800
X -148100  Y 232900
X -148400  Y 122200
X -148400  Y 86200
X -148600  Y 165000
X -148600  Y 177000
X -148900  Y 182800
X -149200  Y 135000
X -149200  Y 141000
X -149800  Y 147000
X -149800  Y 153000
X -149800  Y 159000
X -149800  Y 171000
X -150400  Y 110800
X -150400  Y 97000
X -151200  Y 347600
X -15200  Y 308900
X -152400  Y 104000
X -152400  Y 122400
X -152400  Y 86200
X -154400  Y 110800
X 154400  Y 321800
X 154400  Y 325400
X -154400  Y 97000
X -155000  Y 62600
X -155200  Y 39200
X -155200  Y -47000
X -155200  Y 59000
X -155200  Y 65600
X -155400  Y -19400
X -155400  Y -25400
X -155400  Y 32200
X -155400  Y -35200
X -155400  Y -41000
X -155400  Y 44000
X -155400  Y 53800
X -155600  Y -13600
X -155600  Y 393200
X -155600  Y 398400
X -155600  Y 404000
X -155800  Y 388200
X -156000  Y 414200
X -156000  Y 419400
X -156200  Y 531200
X -156400  Y 122400
X -156400  Y 506800
X -156400  Y 512800
X -156400  Y 519200
X -156400  Y 525400
X -156400  Y 537200
X -156400  Y 86200
X -15700  Y 195300
X -157000  Y 401200
X -157100  Y 359000
X -158000  Y 305600
X -158200  Y 226400
X -158200  Y 299000
X -158200  Y 314600
X -158400  Y 321200
X 159200  Y 611000
X 159200  Y 622800
X 159200  Y 629000
X -159800  Y 330600
X -160000  Y 333800
X -161000  Y 100600
X -161000  Y 107400
X 161400  Y 608000
X 161400  Y 614200
X 161400  Y 625800
X 161400  Y 632200
X -16400  Y 460800
X -164700  Y 399200
X -164700  Y 405100
X -165400  Y 357200
X -165400  Y 367000
X -165400  Y 61600
X -165800  Y 67600
X -166400  Y 143200
X -166400  Y 149200
X -166400  Y 159000
X -166400  Y 165000
X -166400  Y 170800
X -166400  Y 176800
X -166400  Y 380200
X -167000  Y -11600
X -167000  Y -15400
X -167000  Y -25200
X -167000  Y -29200
X -167000  Y -33200
X -167000  Y -37200
X -167000  Y -43000
X -167000  Y -49000
X -167300  Y 412100
X 167800  Y 290400
X 167800  Y 296600
X -16800  Y 449400
X -16800  Y 455200
X 168000  Y 284000
X -168400  Y 387600
X -168600  Y 139400
X -168600  Y 145200
X -168600  Y 151200
X -168600  Y 161000
X -168600  Y 167000
X -168600  Y 172800
X -168600  Y 178800
X 169000  Y 299800
X 169100  Y 545400
X -169200  Y -27400
X 169200  Y 287200
X 169200  Y 293400
X -169200  Y -31200
X -169200  Y -39200
X -169200  Y -45000
X -169600  Y 295100
X -169600  Y 325600
X 170100  Y 278100
X 170100  Y 302700
X 170200  Y 263300
X 170200  Y 307600
X 170200  Y 312400
X 170200  Y 326900
X -170400  Y 422000
X 17200  Y 100600
X -172400  Y 378200
X -172400  Y 420000
X -173000  Y 118200
X -173000  Y 93400
X -173400  Y 133000
X -173400  Y 182800
X -173500  Y 394100
X -173500  Y 398900
X -174100  Y 305500
X -174300  Y 412600
X -174400  Y 380000
X -174500  Y 314600
X -175400  Y -17200
X -175600  Y 21800
X 176300  Y 263300
X 176300  Y 278000
X 176300  Y 282600
X 176300  Y 287000
X 176600  Y 321800
X 176800  Y 309200
X 176800  Y 315600
X 177800  Y 318800
X 177800  Y 325000
X -178000  Y 168900
X 178000  Y 306000
X 178000  Y 312400
X -178100  Y 147200
X -178100  Y 153100
X -178500  Y 163000
X -178800  Y 174800
X 178800  Y 625800
X -178900  Y 141300
X 179100  Y 526800
X -1800  Y 269200
X -180000  Y 399800
X -180200  Y 420800
X 180800  Y 611000
X 180800  Y 622800
X -181400  Y 62000
X -181400  Y 67600
X -181600  Y 73400
X 182200  Y 526800
X 182600  Y 614200
X 182800  Y 608000
X -184100  Y 388500
X -184500  Y 129200
X -185000  Y 411800
X 185400  Y 526800
X 186000  Y 194200
X 186800  Y 150700
X 186800  Y 163900
X -186800  Y 403200
X 187100  Y -1200
X 188500  Y 526800
X -189000  Y 395400
X -189000  Y 401200
X 19000  Y 195300
X 19100  Y 280100
X 191400  Y 268400
X 191400  Y 274600
X 191400  Y 281000
X 191400  Y 287200
X 191400  Y 293600
X 191400  Y 299800
X -191600  Y 284400
X 192000  Y 194500
X -192400  Y 288800
X -192800  Y 307100
X 193200  Y 265200
X 193200  Y 271400
X 193200  Y 277800
X 193200  Y 284000
X 193200  Y 290400
X 193200  Y 296600
X 193200  Y 303000
X -193600  Y -7000
X -196200  Y 135400
X -196900  Y 393300
X -197400  Y -46000
X -197600  Y 180800
X -197700  Y 174800
X -197800  Y 163000
X -198000  Y 405000
X -198100  Y 168900
X -198200  Y 147200
X -198200  Y 153100
X -198300  Y 141300
X 198600  Y 194500
X -199000  Y 60200
X -200400  Y 407000
X 200700  Y 435900
X -200800  Y 31200
X 201000  Y 470400
X -202400  Y -30000
X -204800  Y -12400
X -204800  Y 45800
X -205000  Y 42200
X 205100  Y 194500
X 206000  Y 457200
X -206800  Y 65800
X -208800  Y -63800
X -209800  Y -36000
X -209800  Y -51400
X -211200  Y 139400
X -211200  Y 145200
X -211200  Y 151200
X -212000  Y 51200
X -212000  Y 66000
X -212200  Y 27000
X -212200  Y 415200
X -212200  Y 420400
X -212200  Y 47600
X -213200  Y 640800
X -213200  Y 646000
X -213200  Y 651000
X -213200  Y 656200
X -213600  Y 143200
X -213600  Y 149200
X -214800  Y -50600
X -215000  Y -12000
X -215000  Y -27200
X -216800  Y 27400
X -216800  Y -46400
X 217000  Y 441200
X 217000  Y 447400
X -217400  Y 389400
X -217400  Y 392600
X -217400  Y 395600
X -217400  Y 398800
X -219200  Y -33800
X 220200  Y -40500
X 220400  Y -30500
X -220400  Y 45600
X -220400  Y 65400
X -221000  Y 608000
X -221200  Y 588000
X -221200  Y 620000
X -221400  Y 601800
X -221600  Y 594200
X -221600  Y 669300
X -22200  Y 195300
X -223100  Y 564200
X -224800  Y -1800
X -224800  Y -50800
X 225600  Y 457200
X -226200  Y 680400
X -226800  Y 27400
X 226800  Y 42200
X -226800  Y 66000
X 227000  Y 102300
X -227400  Y 254300
X -227400  Y 260300
X -227600  Y 620200
X -227800  Y 51200
X -228200  Y -17000
X -228200  Y -26000
X -228200  Y -33600
X -229200  Y 660800
X 229400  Y 478900
X -229400  Y 665800
X 23000  Y 269800
X 23100  Y 205700
X -231800  Y 27200
X 232300  Y 102200
X -232600  Y -46400
X -233600  Y 398800
X -233700  Y 389400
X -233700  Y 392500
X 233700  Y -54700
X -233800  Y 182600
X -233800  Y 189600
X -233800  Y 395700
X 233800  Y 436800
X 233800  Y -60900
X -234000  Y 549400
X -234400  Y 168000
X -234400  Y 174200
X -234600  Y 78400
X 235900  Y 478900
X -236000  Y -59200
X -236400  Y 239200
X 236400  Y 305000
X -236400  Y 679100
X -237000  Y 578600
X 238800  Y 447600
X 239700  Y -63700
X -2400  Y 205700
X -242000  Y 646200
X -242200  Y 670800
X -242400  Y 650800
X 243000  Y 102800
X 243000  Y 117500
X -243400  Y 440200
X -243400  Y 66400
X -243600  Y 659200
X -243600  Y 666700
X -243800  Y 290800
X -243800  Y 296000
X -243800  Y 301400
X -243800  Y 306800
X -245000  Y 632500
X -245600  Y 531200
X -245800  Y 410600
X -245800  Y 571000
X -245900  Y 379800
X -247200  Y 567100
X -247400  Y 31200
X -247400  Y 36200
X 248500  Y 102800
X -249200  Y 434200
X -249600  Y 68600
X -249600  Y 83200
X -249800  Y 758600
X -249900  Y 542500
X -250000  Y 581800
X -250200  Y 632500
X -250400  Y 588000
X -251000  Y -7000
X -252400  Y 379800
X -252400  Y 410400
X -252400  Y 670800
X -252600  Y 650800
X -253200  Y 618600
X 253300  Y -3700
X 253500  Y 39000
X -253800  Y 563700
X 253900  Y 102300
X 254700  Y -41600
X 254700  Y -49300
X 254800  Y -35400
X -255400  Y -21600
X -255400  Y -29400
X -255400  Y -39400
X -255500  Y 542200
X -255600  Y -11600
X -255600  Y 33400
X -255600  Y 43400
X -255600  Y 51400
X -255600  Y 545300
X 255600  Y -55500
X -255600  Y 560000
X -255600  Y 61400
X -25600  Y 428500
X -256000  Y 27200
X -256200  Y 16400
X -256200  Y 21600
X -256400  Y 69400
X -256400  Y 75200
X -256600  Y 81000
X 257600  Y -9000
X 257900  Y -14000
X 257900  Y 29300
X 257900  Y 34300
X -258000  Y 602800
X -258000  Y 608400
X 258600  Y 178000
X -258800  Y 549100
X -259000  Y 380000
X -259000  Y 410400
X -259100  Y 306700
X -259200  Y 290600
X -259200  Y 296200
X 259400  Y 102400
X -259400  Y 531400
X -259400  Y 571600
X 259800  Y 124300
X 259800  Y 134300
X 259800  Y 144800
X 259800  Y 154500
X -26000  Y 271000
X -260500  Y 228900
X -261000  Y 746400
X 262600  Y 470500
X 262600  Y 475500
X 262600  Y 490600
X 262600  Y 495600
X -26300  Y 306900
X -26300  Y 310800
X 263100  Y 26200
X 263100  Y 480500
X 263100  Y 485600
X 263500  Y -17700
X 264600  Y 207700
X -265200  Y 5000
X -26700  Y 205700
X 268400  Y 299800
X 269600  Y 1000
X 269600  Y -4000
X -269800  Y 549300
X -269900  Y 554300
X 270100  Y 207700
X -270800  Y -11800
X -270800  Y -21600
X -270800  Y -29400
X -270800  Y -39400
X -270800  Y 600
X -270800  Y 9600
X -27100  Y 699000
X 272800  Y 519200
X 274300  Y -31700
X 276500  Y 446200
X 276900  Y 209400
X -27700  Y 782300
X 277400  Y 476200
X 277400  Y 490000
X 277800  Y 40500
X 277800  Y 48100
X 277800  Y 519100
X -278400  Y 10200
X 278400  Y -3200
X 278400  Y 5000
X 278400  Y 54300
X -278400  Y 800
X 278500  Y 11200
X 278700  Y 34300
X 278800  Y -9400
X 279200  Y 437400
X 279500  Y 412200
X 281500  Y 446200
X -282200  Y 5000
X 282800  Y 519100
X -283200  Y -11600
X -283400  Y -39400
X -283400  Y 61400
X -283600  Y 43400
X -284000  Y 237000
X 284400  Y 437600
X 284800  Y 415400
X 284800  Y 476800
X 284800  Y 489000
X 285600  Y 319200
X 285800  Y 483200
X 286500  Y 446100
X 287800  Y 519100
X -289200  Y 434000
X 289400  Y 437600
X -290800  Y 745600
X 291500  Y 446100
X 292000  Y 472000
X 292000  Y 494200
